seed,gamma,whole_max,settled_max,descent
10,20.0,0.08166552072893851,0.08166552072893851,1.54756852957523
11,20.0,0.06944828899897382,0.04635604157115947,2.2554266725721277
12,20.0,0.11744680923504314,0.08842501800462466,2.210954051627567
13,20.0,0.10292611760822723,0.08337664315348414,2.2560130529687257
14,20.0,0.13047169575183237,0.03010116973476018,2.2525323241588637
15,20.0,0.043061516651121234,0.038317169196323775,1.1653920698214364
16,20.0,0.11483552613681547,0.043873811298405174,1.8607631422739672
17,20.0,0.07608369334985832,0.07608369334985832,0.9615740949610938
18,20.0,0.14301508457486078,0.025490492798665887,0.46743364241879704
19,20.0,0.3542868982000352,0.07235624710572197,1.719770548163126
20,20.0,0.07635569691726718,0.0536585222042143,2.2579786127108434
21,20.0,0.06380881130411864,0.028935303931745704,0.8781428211873106
22,20.0,0.09640151459009871,0.07323238050533543,0.6896144927382153
23,20.0,0.08047417643071131,0.07421844010380685,1.300130747376528
24,20.0,0.09230298526438951,0.05661395442186201,0.6197350372737702
25,20.0,0.06411652630252074,0.04594943025165965,0.9600643500292989
26,20.0,0.0774563175644003,0.0774563175644003,2.1289578127693716
27,20.0,0.1185459196718579,0.04434994689886351,2.25098277999534
28,20.0,0.09276604388005882,0.026501253160109206,2.151022118550557
29,20.0,0.11252577486757409,0.09159421717808125,2.2764970517048226
