alpha,delta1,delta2,U,CL,dstar_s,dstar_p,SPL,dstar_s_c,dstar_p_c,H_s_c,alpha_eq,corr_ok,corr_reason,SPL_c,SPLA_c
3,-5,0,55,-0.0554141320120114,0.0029046956336869,0.0015348013161561,71.78917171216835,0.003080622328389129,0.0033918953982917024,1.1878004777127515,,False,outside the fitted design box,,
3,-5,0,70,-0.0546761068380392,0.0028388247387976,0.0015308653932849,77.00557254829516,0.0030107618764940772,0.0033831970485220463,1.1878004777127515,,False,outside the fitted design box,,
3,-5,5,40,0.2120917842601583,0.0043037682115835,0.0013424329901933,65.84142930278347,0.004044478171629675,0.0026864858101292638,1.50743887847211,0.983313850637908,True,,65.41217103652879,64.6167248654133
3,-5,5,55,0.2128892649203337,0.0041885147349424,0.0012411561314324,72.77779200152602,0.003936168395739618,0.00248380988817025,1.50743887847211,0.983313850637908,True,,72.19768580102036,71.7634166881457
3,-5,5,70,0.214315606938729,0.0041106566825086,0.0011823232236145,78.01646167665793,0.003863001073971087,0.0023660730825523597,1.50743887847211,0.983313850637908,True,,77.34627983071013,77.13780746859557
3,-5,10,40,0.4649121569524586,0.0067307919636904,0.001128485364785,67.22146724061801,0.00560474147825319,0.0020449821079657946,1.8270772792314685,11.588457064115042,True,,64.54861432992628,65.0066422179315
3,-5,10,55,0.467654768823249,0.0065189215017375,0.001019819094207,74.1763870053636,0.005428316598011757,0.00184806278051513,1.8270772792314685,11.588457064115042,True,,75.57576161049562,76.09902994279403
3,-5,10,70,0.471351988482756,0.0063467493809436,0.000954047464922,79.41774517616761,0.005284948591391136,0.0017288748767134627,1.8270772792314685,11.588457064115042,True,,83.62312223517,84.1597869622263
3,0,-10,40,-0.1895078214137713,0.0023934158052201,0.0023554798980938,64.85565695950334,0.0028647068476543255,0.005748678793159335,0.8681620769533932,,False,outside the fitted design box,,
3,0,-10,55,-0.1793478118072843,0.0022763229942501,0.0023722962516968,71.70601876236256,0.0027245571182737236,0.005789720032956826,0.8681620769533932,,False,outside the fitted design box,,
3,0,-10,70,-0.1750083969869642,0.0021983545258825,0.0025819217616188,77.05711563523207,0.002631235763602865,0.006301322668313226,0.8681620769533932,,False,outside the fitted design box,,
3,0,-5,40,0.0732773300226957,0.0032350089105779,0.0016618267073682,65.17644175119813,0.0034309414614344747,0.0036726202291757436,1.1878004777127515,,False,outside the fitted design box,,
3,0,-5,55,0.0784539938276051,0.0031150913831396,0.0016080120847289,72.06751162068802,0.003303760971916975,0.00355369045698334,1.1878004777127515,,False,outside the fitted design box,,
3,0,-5,70,0.0809701750226889,0.0030443054620294,0.0016894099387367,77.33858445111271,0.003228687808801814,0.003733578891749183,1.1878004777127515,,False,outside the fitted design box,,
3,0,0,40,0.3357932507492957,0.0046340116887356,0.0013604762573366,66.10537027935784,0.00435482539968667,0.002722594116095335,1.50743887847211,0.983313850637908,True,,65.61298295885798,64.67502671702925
3,0,0,55,0.3391665592516484,0.0045021088476681,0.0013443958535478,73.10251916740313,0.004230869337174382,0.002690413905302437,1.50743887847211,0.983313850637908,True,,72.50707806796696,71.91924253228603
3,0,0,70,0.3427024641870838,0.0044165916165188,0.0013350191765616,78.3535724698579,0.004150504280861487,0.0026716492370816684,1.50743887847211,0.983313850637908,True,,77.72092816942444,77.36360130050255
3,0,5,40,0.583490901210255,0.0070434732340154,0.0011944884935211,67.40086193343147,0.005865111683530276,0.0021645895229550024,1.8270772792314685,11.588457064115042,True,,64.73975133796306,65.16790440487135
3,0,5,55,0.5884901267933992,0.0067981982705453,0.0011084878597176,74.3686177669365,0.005660870820233087,0.002008743676043747,1.8270772792314685,11.588457064115042,True,,75.76135026861257,76.2730239922752
3,0,5,70,0.5946810983764523,0.0065946224246641,0.0010604504423344,79.61737813659681,0.005491352880362718,0.001921692782760567,1.8270772792314685,11.588457064115042,True,,83.79199225482267,84.32827295813874
3,0,10,40,0.8131951454020757,0.011077902152718,0.0009875171536706,68.49285125540764,0.008173776117506207,0.0016204658260038772,2.1467156799908267,,False,outside the equivalent-incidence map,,
3,0,10,55,0.8231351113190264,0.0104764863391601,0.0009029984716877,75.60332890517877,0.007730024390348731,0.0014817749330881438,2.1467156799908267,,False,outside the equivalent-incidence map,,
3,0,10,70,0.8335054265642158,0.0100359285313863,0.0008555639849821,80.91696436415829,0.007404960958850661,0.0014039373336148086,2.1467156799908267,,False,outside the equivalent-incidence map,,
3,5,-10,40,0.2089147423254856,0.0037243030411292,0.0024943696305842,66.14069386912169,0.003949870331724696,0.005512531675960992,1.1878004777127515,,False,outside the fitted design box,,
3,5,-10,55,0.2073383792922924,0.0036055539237116,0.0022996705597984,72.93421439600203,0.003823929018510812,0.005082248697116544,1.1878004777127515,,False,outside the fitted design box,,
3,5,-10,70,0.2076026239673047,0.0035252094651821,0.0022219517255995,78.12454388809569,0.0037387183926408138,0.004910490858948889,1.1878004777127515,,False,outside the fitted design box,,
3,5,-5,40,0.4607837128980181,0.0053717016341061,0.0019008438533835,66.9404809460302,0.005048071581823397,0.0038039813358958755,1.50743887847211,0.983313850637908,True,,66.50024336145567,65.01312921218425
3,5,-5,55,0.4622382726525897,0.005209993213044,0.0017777213806351,73.807119921991,0.004896105642441703,0.0035575878262287925,1.50743887847211,0.983313850637908,True,,73.31583355412313,72.29511828271858
3,5,-5,70,0.4656810644502149,0.0050759138773563,0.0017084860734803,79.00763612573594,0.004770104213044094,0.0034190336700138674,1.50743887847211,0.983313850637908,True,,78.47404670645247,77.76327738541069
3,5,0,40,0.7058547193407221,0.0079961954708018,0.0014738464901971,67.90941921632853,0.0066584450485453455,0.002670827461652975,1.8270772792314685,11.588457064115042,True,,65.28657648035303,65.60903861409554
3,5,0,55,0.7122526643890662,0.0076228060915449,0.0013869639012736,74.88279356240322,0.006347523101655618,0.0025133833818388293,1.8270772792314685,11.588457064115042,True,,76.25890926325758,76.71868644862066
3,5,0,70,0.7199767281470413,0.0073284877547322,0.0013347985280013,80.09682634900416,0.006102443741151925,0.002418852022969559,1.8270772792314685,11.588457064115042,True,,84.25118495767833,84.76916956215607
3,5,5,40,0.9350096571260657,0.0119477649287706,0.0011740956418612,68.67060199759685,0.00881560012771936,0.0019266317116864934,2.1467156799908267,,False,outside the equivalent-incidence map,,
3,5,5,55,0.947258645691714,0.0112642184411949,0.0011062003388041,75.85441635090514,0.00831124868298479,0.0018152189448892224,2.1467156799908267,,False,outside the equivalent-incidence map,,
3,5,5,70,0.9596856469853388,0.0107704473606569,0.0010630898056626,81.20535038630791,0.00794692209750159,0.0017444767350582925,2.1467156799908267,,False,outside the equivalent-incidence map,,
